cidade	FREQUENTANDO_ESCOLA	NAO_FREQUENTANDO_ESCOLA	SEM_INSTRUCAO	NIVEL_FUNDAMENTAL	NIVEL_MEDIO	NIVEL_SUPERIOR	ANO
natal	186383.0	509028.0	281079.0	119739.0	216255.0	75749.0	2010
macaiba	15966.0	41676.0	35916.0	9515.0	10258.0	1536.0	2010
parnamirim	46139.0	125927.0	66452.0	26954.0	57537.0	20431.0	2010
mossoro	58426.0	162156.0	106812.0	36903.0	60076.0	15685.0	2010
ceara-mirim	15359.0	40566.0	36844.0	7829.0	9125.0	1529.0	2010
sao-goncalo-do-amarante	21291.0	51720.0	41765.0	12222.0	16015.0	1584.0	2010
caico	12343.0	41854.0	29262.0	9389.0	11916.0	3494.0	2010
currais-novos	8080.0	28525.0	20092.0	5510.0	9098.0	1823.0	2010
santa-cruz	7410.0	22622.0	18505.0	4540.0	5735.0	1206.0	2010
acu	10660.0	33996.0	27184.0	7618.0	7894.0	1833.0	2010
sao-jose-de-mipibu	9365.0	23340.0	22222.0	4817.0	4542.0	1002.0	2010
nova-cruz	7789.0	21865.0	19966.0	3722.0	5273.0	660.0	2010
macau	5748.0	18820.0	14735.0	3951.0	4959.0	847.0	2010
apodi	7730.0	22358.0	19088.0	4309.0	5465.0	1167.0	2010
canguaretama	7338.0	17611.0	17536.0	3758.0	2805.0	740.0	2010
pau-dos-ferros	5373.0	18307.0	13676.0	3590.0	4677.0	1606.0	2010
joao-camara	7633.0	18778.0	18653.0	3854.0	3182.0	629.0	2010
touros	6676.0	18572.0	18404.0	3673.0	2662.0	449.0	2010
extremoz	5389.0	14866.0	12256.0	3313.0	4020.0	586.0	2010
areia-branca	5214.0	16320.0	11735.0	3773.0	5273.0	707.0	2010
goianinha	5400.0	12905.0	11876.0	3035.0	2960.0	403.0	2010
barauna	5065.0	14385.0	14872.0	2331.0	1938.0	220.0	2010
nisia-floresta	5241.0	14356.0	13018.0	3017.0	2844.0	667.0	2010
santo-antonio	4843.0	13623.0	12677.0	2575.0	2831.0	351.0	2010
jucurutu	3385.0	11797.0	10910.0	1929.0	1976.0	274.0	2010
parelhas	3763.0	13512.0	10003.0	2778.0	3671.0	694.0	2010
sao-miguel	4878.0	13427.0	12741.0	2418.0	2353.0	731.0	2010
sao-paulo-do-potengi	3358.0	10041.0	8780.0	1831.0	2389.0	362.0	2010
monte-alegre	4812.0	12217.0	11873.0	2346.0	2279.0	426.0	2010
caraubas	3872.0	12709.0	10560.0	2236.0	3077.0	667.0	2010
poco-branco	3040.0	8365.0	8073.0	1461.0	1563.0	215.0	2010
guamare	2751.0	7342.0	6635.0	1398.0	1699.0	264.0	2010
lagoa-nova	2904.0	8679.0	8463.0	1463.0	1390.0	262.0	2010
pendencias	2625.0	8654.0	7356.0	1780.0	1675.0	339.0	2010
tangara	2904.0	8722.0	7929.0	1636.0	1772.0	229.0	2010
ipanguacu	2737.0	8491.0	7412.0	1664.0	1884.0	238.0	2010
jardim-de-piranhas	2889.0	8571.0	8249.0	1396.0	1493.0	180.0	2010
tibau-do-sul	2020.0	7234.0	5872.0	1345.0	1576.0	461.0	2010
upanema	2818.0	8051.0	7469.0	1289.0	1879.0	213.0	2010
pedro-velho	3381.0	8210.0	8675.0	1456.0	1254.0	179.0	2010
ares	2814.0	7876.0	7087.0	1508.0	1814.0	271.0	2010
alto-do-rodrigues	2633.0	7630.0	6059.0	1418.0	2422.0	206.0	2010
sao-jose-do-campestre	2675.0	7678.0	7031.0	1466.0	1572.0	268.0	2010
ielmo-marinho	2654.0	7284.0	7809.0	1108.0	900.0	90.0	2010
passa-e-fica	2377.0	7013.0	6650.0	1243.0	1209.0	217.0	2010
alexandria	2861.0	8615.0	8031.0	1458.0	1529.0	458.0	2010
patu	2267.0	7793.0	6668.0	1278.0	1685.0	430.0	2010
governador-dix-sept-rosado	3162.0	7372.0	7304.0	1579.0	1276.0	299.0	2010
maxaranguape	2467.0	5884.0	5735.0	1396.0	1027.0	170.0	2010
brejinho	2301.0	7277.0	6890.0	1099.0	1386.0	170.0	2010
taipu	2563.0	7133.0	7155.0	1107.0	1229.0	140.0	2010
jardim-do-serido	2378.0	8399.0	6699.0	1580.0	2001.0	491.0	2010
serra-do-mel	1995.0	6382.0	5629.0	1277.0	1308.0	163.0	2010
vera-cruz	2314.0	6654.0	6286.0	1197.0	1302.0	177.0	2010
montanhas	2336.0	7039.0	6996.0	1169.0	1006.0	166.0	2010
lajes	2207.0	6561.0	5725.0	1391.0	1384.0	203.0	2010
santana-do-matos	2757.0	9106.0	8455.0	1422.0	1690.0	223.0	2010
campo-redondo	2073.0	6587.0	5537.0	1326.0	1622.0	175.0	2010
cerro-cora	2393.0	6714.0	6280.0	1288.0	1263.0	276.0	2010
angicos	2139.0	7650.0	6253.0	1246.0	2006.0	279.0	2010
acari	1939.0	7606.0	5693.0	1317.0	2141.0	393.0	2010
rio-do-fogo	2432.0	5591.0	5949.0	1139.0	786.0	107.0	2010
carnaubais	2043.0	6069.0	5541.0	1119.0	1249.0	203.0	2010
sao-tome	2192.0	6988.0	6701.0	1109.0	1136.0	195.0	2010
tenente-ananias	1711.0	6587.0	6162.0	1008.0	987.0	140.0	2010
afonso-bezerra	2276.0	6628.0	6220.0	1173.0	1326.0	185.0	2010
grossos	1749.0	6289.0	4997.0	1248.0	1535.0	258.0	2010
serra-caiada	1953.0	5014.0	5176.0	802.0	769.0	204.0	2010
sao-miguel-do-gostoso	2091.0	4956.0	5061.0	760.0	925.0	289.0	2010
umarizal	2360.0	6738.0	6265.0	1300.0	1224.0	304.0	2010
januario-cicco	2028.0	5364.0	5447.0	948.0	876.0	116.0	2010
espirito-santo	2360.0	6269.0	6502.0	1071.0	927.0	129.0	2010
pureza	1972.0	4801.0	4978.0	894.0	743.0	158.0	2010
bom-jesus	1991.0	5778.0	5843.0	818.0	917.0	192.0	2010
luis-gomes	2103.0	5826.0	5369.0	1207.0	1153.0	195.0	2010
campo-grande	2038.0	5765.0	5500.0	844.0	1188.0	193.0	2010
florania	2115.0	5627.0	4756.0	1207.0	1464.0	265.0	2010
baia-formosa	2127.0	4909.0	4615.0	1007.0	1221.0	183.0	2010
jacana	1563.0	5072.0	4636.0	872.0	990.0	137.0	2010
lagoa-salgada	1481.0	4688.0	4452.0	966.0	687.0	64.0	2010
martins	1676.0	5288.0	4566.0	1001.0	1196.0	202.0	2010
carnauba-dos-dantas	1290.0	5021.0	3904.0	1037.0	1166.0	190.0	2010
marcelino-vieira	1719.0	5178.0	4812.0	892.0	975.0	213.0	2010
riachuelo	1764.0	4068.0	4093.0	757.0	854.0	119.0	2010
jandaira	1414.0	4121.0	4072.0	696.0	686.0	81.0	2010
antonio-martins	1605.0	4228.0	4318.0	751.0	634.0	131.0	2010
caicara-do-norte	1155.0	3750.0	3552.0	648.0	525.0	98.0	2010
pedro-avelino	1557.0	4414.0	4459.0	662.0	751.0	73.0	2010
lagoa-danta	1400.0	3720.0	3597.0	648.0	754.0	122.0	2010
doutor-severiano	1411.0	4030.0	3578.0	852.0	802.0	200.0	2010
sao-joao-do-sabugi	1154.0	3952.0	3044.0	742.0	1095.0	224.0	2010
equador	1160.0	3664.0	3270.0	651.0	791.0	112.0	2010
porto-do-mangue	1120.0	3158.0	3063.0	665.0	451.0	87.0	2010
senador-eloi-de-souza	1333.0	3335.0	3295.0	650.0	618.0	104.0	2010
serrinha	1796.0	3649.0	3954.0	729.0	664.0	98.0	2010
sao-vicente	1053.0	4168.0	3350.0	663.0	1036.0	167.0	2010
jose-da-penha	1107.0	3912.0	3697.0	589.0	587.0	146.0	2010
itau	1225.0	3516.0	3136.0	642.0	792.0	168.0	2010
tenente-laurentino-cruz	1006.0	3317.0	2709.0	670.0	783.0	137.0	2010
sao-pedro	1322.0	3891.0	3873.0	534.0	682.0	107.0	2010
felipe-guerra	1117.0	3829.0	3135.0	597.0	1056.0	159.0	2010
santa-maria	947.0	2925.0	2734.0	524.0	520.0	89.0	2010
serra-de-sao-bento	1145.0	3649.0	3360.0	695.0	622.0	116.0	2010
bento-fernandes	1540.0	2717.0	2966.0	570.0	589.0	126.0	2010
sitio-novo	1056.0	3131.0	2992.0	559.0	546.0	86.0	2010
encanto	1189.0	3219.0	3005.0	539.0	673.0	190.0	2010
varzea	981.0	3433.0	2926.0	690.0	701.0	96.0	2010
janduis	1095.0	3374.0	2967.0	630.0	658.0	107.0	2010
rafael-fernandes	786.0	3176.0	2581.0	493.0	754.0	131.0	2010
parazinho	1151.0	2721.0	2973.0	421.0	386.0	93.0	2010
coronel-ezequiel	1171.0	3363.0	3330.0	630.0	522.0	52.0	2010
lajes-pintadas	881.0	3048.0	2520.0	528.0	769.0	112.0	2010
japi	1339.0	3200.0	3328.0	521.0	643.0	47.0	2010
ouro-branco	729.0	3316.0	2592.0	487.0	825.0	134.0	2010
serrinha-dos-pintos	867.0	3020.0	2822.0	437.0	547.0	82.0	2010
coronel-joao-pessoa	1080.0	2855.0	2949.0	343.0	556.0	81.0	2010
