cidade	MATRICULAS_INFANTIL	MATRICULAS_FUNDAMENTAL	MATRICULAS_MEDIO	ANO
natal	29876.0	99212.0	30560.0	2018
macaiba	3007.0	10412.0	2542.0	2018
parnamirim	8993.0	31275.0	8051.0	2018
mossoro	12062.0	36650.0	9908.0	2018
ceara-mirim	3564.0	12455.0	3830.0	2018
sao-goncalo-do-amarante	4131.0	14412.0	3534.0	2018
caico	2651.0	7612.0	2734.0	2018
currais-novos	1943.0	5412.0	2112.0	2018
santa-cruz	1952.0	5604.0	1644.0	2018
acu	2415.0	8322.0	1830.0	2018
sao-jose-de-mipibu	2100.0	7506.0	1302.0	2018
nova-cruz	1728.0	5697.0	1657.0	2018
macau	1514.0	3842.0	1363.0	2018
apodi	1329.0	4226.0	1603.0	2018
canguaretama	1475.0	5786.0	1401.0	2018
pau-dos-ferros	1315.0	3978.0	1574.0	2018
joao-camara	1669.0	5966.0	1757.0	2018
touros	1599.0	5826.0	1050.0	2018
extremoz	2049.0	6683.0	1321.0	2018
areia-branca	1133.0	3542.0	705.0	2018
goianinha	1940.0	5343.0	1392.0	2018
barauna	1339.0	4280.0	1046.0	2018
nisia-floresta	1558.0	4749.0	581.0	2018
santo-antonio	1092.0	3586.0	748.0	2018
jucurutu	759.0	2361.0	639.0	2018
parelhas	1108.0	3206.0	1027.0	2018
sao-miguel	1014.0	3424.0	624.0	2018
sao-paulo-do-potengi	878.0	2676.0	1134.0	2018
monte-alegre	1107.0	3044.0	811.0	2018
caraubas	1027.0	3000.0	707.0	2018
poco-branco	457.0	2040.0	345.0	2018
guamare	959.0	2812.0	407.0	2018
lagoa-nova	727.0	2485.0	544.0	2018
pendencias	707.0	1892.0	501.0	2018
tangara	686.0	2203.0	494.0	2018
ipanguacu	661.0	2317.0	1040.0	2018
jardim-de-piranhas	588.0	1896.0	411.0	2018
tibau-do-sul	654.0	2533.0	513.0	2018
upanema	608.0	1814.0	362.0	2018
pedro-velho	870.0	2250.0	547.0	2018
ares	666.0	2076.0	471.0	2018
alto-do-rodrigues	669.0	1923.0	664.0	2018
sao-jose-do-campestre	532.0	1682.0	352.0	2018
ielmo-marinho	438.0	2025.0	549.0	2018
passa-e-fica	853.0	1871.0	490.0	2018
alexandria	548.0	1863.0	325.0	2018
patu	466.0	1694.0	511.0	2018
governador-dix-sept-rosado	499.0	1712.0	385.0	2018
maxaranguape	568.0	2057.0	244.0	2018
brejinho	663.0	1872.0	527.0	2018
taipu	406.0	1990.0	522.0	2018
jardim-do-serido	488.0	1240.0	320.0	2018
serra-do-mel	637.0	1773.0	345.0	2018
vera-cruz	532.0	1956.0	583.0	2018
montanhas	463.0	1876.0	354.0	2018
lajes	478.0	1317.0	662.0	2018
santana-do-matos	506.0	1562.0	317.0	2018
campo-redondo	483.0	1368.0	416.0	2018
cerro-cora	421.0	1689.0	462.0	2018
angicos	503.0	1592.0	455.0	2018
acari	478.0	1138.0	290.0	2018
rio-do-fogo	447.0	2108.0	604.0	2018
carnaubais	513.0	1386.0	323.0	2018
sao-tome	531.0	1328.0	280.0	2018
tenente-ananias	554.0	1417.0	213.0	2018
afonso-bezerra	440.0	1538.0	387.0	2018
grossos	419.0	1246.0	350.0	2018
serra-caiada	596.0	1561.0	315.0	2018
sao-miguel-do-gostoso	623.0	1660.0	506.0	2018
umarizal	422.0	1335.0	358.0	2018
januario-cicco	352.0	1331.0	249.0	2018
espirito-santo	388.0	1185.0	236.0	2018
pureza	432.0	1604.0	342.0	2018
bom-jesus	505.0	1455.0	290.0	2018
luis-gomes	479.0	1545.0	268.0	2018
campo-grande	357.0	1303.0	329.0	2018
florania	450.0	1240.0	297.0	2018
baia-formosa	518.0	1385.0	328.0	2018
jacana	327.0	1176.0	399.0	2018
lagoa-salgada	450.0	1612.0	379.0	2018
martins	339.0	1249.0	359.0	2018
carnauba-dos-dantas	468.0	995.0	194.0	2018
marcelino-vieira	309.0	1077.0	302.0	2018
riachuelo	408.0	1024.0	241.0	2018
