cidade	POP_RESIDENTE	ANO
natal	803739.0	2010
macaiba	69467.0	2010
parnamirim	202456.0	2010
mossoro	259815.0	2010
ceara-mirim	68141.0	2010
sao-goncalo-do-amarante	87668.0	2010
caico	62709.0	2010
currais-novos	42652.0	2010
santa-cruz	35797.0	2010
acu	53227.0	2010
sao-jose-de-mipibu	39776.0	2010
nova-cruz	35490.0	2010
macau	28954.0	2010
apodi	34763.0	2010
canguaretama	30916.0	2010
pau-dos-ferros	27745.0	2010
joao-camara	32227.0	2010
touros	31089.0	2010
extremoz	24569.0	2010
areia-branca	25315.0	2010
goianinha	22481.0	2010
barauna	24182.0	2010
nisia-floresta	23784.0	2010
santo-antonio	22216.0	2010
jucurutu	17692.0	2010
parelhas	20354.0	2010
sao-miguel	22157.0	2010
sao-paulo-do-potengi	15843.0	2010
monte-alegre	20685.0	2010
caraubas	19576.0	2010
poco-branco	13949.0	2010
guamare	12404.0	2010
lagoa-nova	13983.0	2010
pendencias	13432.0	2010
tangara	14175.0	2010
ipanguacu	13856.0	2010
jardim-de-piranhas	13506.0	2010
tibau-do-sul	11385.0	2010
upanema	12992.0	2010
pedro-velho	14114.0	2010
ares	12924.0	2010
alto-do-rodrigues	12305.0	2010
