cidade	FREQUENTANDO_ESCOLA	NAO_FREQUENTANDO_ESCOLA	SEM_INSTRUCAO	NIVEL_FUNDAMENTAL	NIVEL_MEDIO	NIVEL_SUPERIOR	MATRICULAS_INFANTIL	MATRICULAS_FUNDAMENTAL	MATRICULAS_MEDIO	PIB	POP_RESIDENTE	ESTABELECIMENTOS_SAUDE_PUBLICOS	LEITOS_PARA_INTERNAÇÃO_PUBLICOS
natal	186383	509028	281079	119739	216255	75749	29876	99212	30560	23803672760	803739	88	1217
macaiba	15966	41676	35916	9515	10258	1536	3007	10412	2542	1516819960	69467	26	27
parnamirim	46139	125927	66452	26954	57537	20431	8993	31275	8051	5197196340	202456	37	166
mossoro	58426	162156	106812	36903	60076	15685	12062	36650	9908	6524082900	259815	47	318
ceara-mirim	15359	40566	36844	7829	9125	1529	3564	12455	3830	849204800	68141	30	54
sao-goncalo-do-amarante	21291	51720	41765	12222	16015	1584	4131	14412	3534	1482829030	87668	27	0
caico	12343	41854	29262	9389	11916	3494	2651	7612	2734	1184463000	62709	33	75
currais-novos	8080	28525	20092	5510	9098	1823	1943	5412	2112	695677500	42652	13	0
santa-cruz	7410	22622	18505	4540	5735	1206	1952	5604	1644	570224600	35797	14	95
acu	10660	33996	27184	7618	7894	1833	2415	8322	1830	1095809820	53227	15	71
sao-jose-de-mipibu	9365	23340	22222	4817	4542	1002	2100	7506	1302	773095150	39776	18	39
nova-cruz	7789	21865	19966	3722	5273	660	1728	5697	1657	476356370	35490	22	29
macau	5748	18820	14735	3951	4959	847	1514	3842	1363	759120340	28954	10	0
apodi	7730	22358	19088	4309	5465	1167	1329	4226	1603	491941550	34763	7	55
canguaretama	7338	17611	17536	3758	2805	740	1475	5786	1401	524409850	30916	18	41
pau-dos-ferros	5373	18307	13676	3590	4677	1606	1315	3978	1574	513598450	27745	15	50
joao-camara	7633	18778	18653	3854	3182	629	1669	5966	1757	1026019170	32227	19	30
touros	6676	18572	18404	3673	2662	449	1599	5826	1050	662054390	31089	13	20
extremoz	5389	14866	12256	3313	4020	586	2049	6683	1321	406664500	24569	9	0
areia-branca	5214	16320	11735	3773	5273	707	1133	3542	705	675718040	25315	7	0
goianinha	5400	12905	11876	3035	2960	403	1940	5343	1392	378665320	22481	8	14
barauna	5065	14385	14872	2331	1938	220	1339	4280	1046	546283510	24182	8	28
nisia-floresta	5241	14356	13018	3017	2844	667	1558	4749	581	410721200	23784	22	0
santo-antonio	4843	13623	12677	2575	2831	351	1092	3586	748	224413860	22216	13	52
jucurutu	3385	11797	10910	1929	1976	274	759	2361	639	223688120	17692	21	49
parelhas	3763	13512	10003	2778	3671	694	1108	3206	1027	329728970	20354	15	21
sao-miguel	4878	13427	12741	2418	2353	731	1014	3424	624	224988560	22157	21	35
sao-paulo-do-potengi	3358	10041	8780	1831	2389	362	878	2676	1134	167066020	15843	13	40
monte-alegre	4812	12217	11873	2346	2279	426	1107	3044	811	211510530	20685	9	16
caraubas	3872	12709	10560	2236	3077	667	1027	3000	707	355928440	19576	9	25
poco-branco	3040	8365	8073	1461	1563	215	457	2040	345	108446330	13949	8	30
guamare	2751	7342	6635	1398	1699	264	959	2812	407	1391829510	12404	11	33
lagoa-nova	2904	8679	8463	1463	1390	262	727	2485	544	308028650	13983	6	54
pendencias	2625	8654	7356	1780	1675	339	707	1892	501	480471190	13432	6	18
tangara	2904	8722	7929	1636	1772	229	686	2203	494	138339000	14175	7	19
ipanguacu	2737	8491	7412	1664	1884	238	661	2317	1040	135412920	13856	9	0
jardim-de-piranhas	2889	8571	8249	1396	1493	180	588	1896	411	134138610	13506	13	23
tibau-do-sul	2020	7234	5872	1345	1576	461	654	2533	513	336559590	11385	6	18
upanema	2818	8051	7469	1289	1879	213	608	1814	362	179736990	12992	3	15
pedro-velho	3381	8210	8675	1456	1254	179	870	2250	547	123554690	14114	7	29
ares	2814	7876	7087	1508	1814	271	666	2076	471	447728230	12924	7	8
alto-do-rodrigues	2633	7630	6059	1418	2422	206	669	1923	664	482564650	12305	9	28
sao-jose-do-campestre	2675	7678	7031	1466	1572	268	532	1682	352	92758110	12356	6	22
ielmo-marinho	2654	7284	7809	1108	900	90	438	2025	549	105491960	12171	8	0
passa-e-fica	2377	7013	6650	1243	1209	217	853	1871	490	107189840	11100	8	25
alexandria	2861	8615	8031	1458	1529	458	548	1863	325	130588510	13507	9	0
patu	2267	7793	6668	1278	1685	430	466	1694	511	135923060	11964	5	26
governador-dix-sept-rosado	3162	7372	7304	1579	1276	299	499	1712	385	262924970	12374	5	0
maxaranguape	2467	5884	5735	1396	1027	170	568	2057	244	119102840	10441	4	0
brejinho	2301	7277	6890	1099	1386	170	663	1872	527	151669870	11577	5	15
taipu	2563	7133	7155	1107	1229	140	406	1990	522	112216880	11836	15	5
jardim-do-serido	2378	8399	6699	1580	2001	491	488	1240	320	159575300	12113	10	0
serra-do-mel	1995	6382	5629	1277	1308	163	637	1773	345	329054020	10287	22	0
vera-cruz	2314	6654	6286	1197	1302	177	532	1956	583	108250580	10719	5	0
montanhas	2336	7039	6996	1169	1006	166	463	1876	354	92113500	11413	8	0
